ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,1059.069,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,1063.46,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,1065.265,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,1054.699,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,992.968,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2009,985.104,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,1038.952,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2007,1072.117,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,1077.487,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2005,1033.375,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2004,1019.16,B,,I11:264,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2003,1083.127,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2002,1058.517,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2001,1085.493,,,,R1:3513
AUT,BA:103,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2000,1105.973,,,,R1:3513
BDI,BB:7040,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,152.734,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,1013.152,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,1021.05,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2021,958.926,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,993.812,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2019,1020.67,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2018,994.893,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,981.994,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,975.274,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,975.599,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,972.004,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,983.236,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,984.229,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,1047.671,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,1049.239,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2009,1037.7,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,1096.913,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2007,1069.773,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,1052.728,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2005,1045.531,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2004,1033.442,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2003,1010.369,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2002,1044.911,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2001,1029.372,,,,R1:3513
BEL,BA:2257,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2000,1063.523,,,,R1:3513
BEN,BB:426,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,996.639,,,,R1:3513
BEN,AA:746,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,453.45,,,,R1:3513_S14:4147
BFA,BA:15678,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,1196.397,,,,R1:3513
BFA,BB:16126,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,1038.887,,,,R1:3513
