typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,19890101,1989,52,1989,554,NZL,New Zealand,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,8867268608.0,8867268608.0,0,True,False
C,A,19890101,1989,52,1989,600,PRY,Paraguay,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,758320000.0,,758320000.0,0,True,False
C,A,19890101,1989,52,1989,600,PRY,Paraguay,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1009445632.0,1009445632.0,0,True,False
C,A,19890101,1989,52,1989,620,PRT,Portugal,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,19070269440.0,,19070269440.0,0,True,False
C,A,19890101,1989,52,1989,620,PRT,Portugal,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,12797415424.0,12797415424.0,0,True,False
C,A,19890101,1989,52,1989,642,ROU,Romania,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,8437671936.0,8437671936.0,0,True,False
C,A,19890101,1989,52,1989,642,ROU,Romania,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,10487379968.0,10487379968.0,0,True,False
C,A,19890101,1989,52,1989,699,IND,India,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,21718194176.0,,21718194176.0,0,True,False
C,A,19890101,1989,52,1989,699,IND,India,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,17045031936.0,17045031936.0,0,True,False
C,A,19890101,1989,52,1989,702,SGP,Singapore,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,49689128960.0,,49689128960.0,0,True,False
C,A,19890101,1989,52,1989,702,SGP,Singapore,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,44686630912.0,44686630912.0,0,True,False
C,A,19890101,1989,52,1989,724,ESP,Spain,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,71430823936.0,,71430823936.0,0,True,False
C,A,19890101,1989,52,1989,724,ESP,Spain,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,44463710208.0,44463710208.0,0,True,False
C,A,19890101,1989,52,1989,757,CHE,Switzerland,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,58206724096.0,,58206724096.0,0,False,False
C,A,19890101,1989,52,1989,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,51535642624.0,51535642624.0,0,False,False
C,A,19890101,1989,52,1989,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,25762676678.0,,25762676678.0,0,False,False
C,A,19890101,1989,52,1989,764,THA,Thailand,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,20058260419.0,20058260419.0,0,False,False
C,A,19890101,1989,52,1989,792,TUR,Türkiye,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,15759743603.0,,15759743603.0,0,False,False
C,A,19890101,1989,52,1989,792,TUR,Türkiye,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,11627285800.0,11627285800.0,0,False,False
C,A,19900101,1990,52,1990,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,38632769854.0,38632769854.0,0,False,False
C,A,19900101,1990,52,1990,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,38781276003.0,38781276003.0,0,False,False
C,A,19900101,1990,52,1990,50,BGD,Bangladesh,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,3431776515.0,,3431776515.0,0,False,False
C,A,19900101,1990,52,1990,50,BGD,Bangladesh,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,1556440406.0,1556440406.0,0,False,False
C,A,19900101,1990,52,1990,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,22458519552.0,,22458519552.0,0,False,False
C,A,19900101,1990,52,1990,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,31411257344.0,31411257344.0,0,False,False
C,A,19900101,1990,52,1990,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,116508713482.0,116508713482.0,0,False,False
C,A,19900101,1990,52,1990,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,126899389757.0,126899389757.0,0,False,False
C,A,19900101,1990,52,1990,144,LKA,Sri Lanka,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,2634112512.0,,2634112512.0,0,False,False
C,A,19900101,1990,52,1990,144,LKA,Sri Lanka,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,1912600064.0,1912600064.0,0,False,False
